CustomerID,MonthlyCharges,TotalCharges,PaymentMethod,NumComplaints,Churn
C00001,18.0,99.92,Electronic check,0,0
C00002,39.78,2215.73,Mailed check,0,0
C00003,93.51,4401.81,Electronic check,1,0
C00004,18.0,542.95,Credit card,2,0
C00005,87.11,2706.98,Mailed check,1,0
C00006,29.32,1772.98,Bank transfer,2,0
C00007,20.17,140.76,Mailed check,3,0
C00008,70.87,3493.78,Credit card,1,0
C00009,32.55,484.56,Bank transfer,2,0
C00010,38.79,288.39,Electronic check,4,1
C00011,87.43,3313.79,Mailed check,5,1
C00012,71.42,4963.96,Electronic check,1,0
C00013,52.99,2807.34,Mailed check,0,0
C00014,74.22,4077.88,Electronic check,2,1
C00015,50.47,2605.32,Credit card,0,0
C00016,93.5,5244.8,Credit card,3,0
C00017,115.0,4250.39,Electronic check,5,1
C00018,108.93,1065.29,Bank transfer,4,1
C00019,42.34,2539.45,Electronic check,2,0
C00020,69.22,2253.7,Bank transfer,1,0
C00021,18.0,655.6,Mailed check,0,0
C00022,60.31,1641.52,Mailed check,7,1
C00023,18.0,184.53,Credit card,4,1
C00024,53.46,3546.93,Mailed check,2,0
C00025,57.33,3212.11,Electronic check,2,0
C00026,41.59,1913.71,Mailed check,1,0
C00027,93.33,2709.94,Bank transfer,2,0
C00028,42.98,2539.79,Electronic check,3,1
C00029,18.0,696.83,Electronic check,0,0
C00030,93.22,2973.07,Bank transfer,3,0
C00031,18.0,547.94,Electronic check,1,0
C00032,73.1,1235.37,Bank transfer,1,0
C00033,68.25,499.97,Electronic check,1,0
C00034,66.91,2665.42,Electronic check,1,0
C00035,83.98,5390.57,Electronic check,1,1
C00036,93.67,446.94,Credit card,3,1
C00037,32.02,1926.3,Bank transfer,2,0
C00038,18.0,1053.42,Electronic check,0,0
C00039,95.96,1937.75,Electronic check,2,1
C00040,79.19,3533.95,Electronic check,0,0
C00041,78.59,978.63,Mailed check,0,0
C00042,54.78,3000.72,Mailed check,6,1
C00043,69.51,3489.79,Bank transfer,3,0
C00044,62.92,1625.2,Bank transfer,2,1
C00045,51.06,245.82,Credit card,5,1
C00046,18.0,1228.23,Electronic check,3,0
C00047,34.1,1077.29,Credit card,4,1
C00048,44.38,2836.21,Bank transfer,0,0
C00049,99.02,4815.31,Electronic check,0,0
C00050,52.91,2969.79,Credit card,2,0
C00051,84.93,4563.32,Credit card,3,0
C00052,48.87,666.99,Electronic check,1,0
C00053,36.72,939.61,Bank transfer,6,1
C00054,25.56,876.44,Mailed check,1,0
C00055,55.65,2025.36,Credit card,1,0
C00056,49.59,178.04,Mailed check,3,0
C00057,88.58,3478.65,Electronic check,0,0
C00058,62.65,666.65,Electronic check,0,0
C00059,54.52,2874.74,Electronic check,2,0
C00060,29.39,1458.28,Bank transfer,1,0
C00061,29.59,1919.5,Mailed check,0,0
C00062,66.55,3515.96,Credit card,3,0
C00063,35.95,952.19,Credit card,0,0
C00064,101.96,7026.06,Bank transfer,0,0
C00065,92.71,2767.62,Mailed check,0,0
C00066,24.13,544.27,Mailed check,2,0
C00067,72.2,4705.39,Mailed check,2,0
C00068,62.11,1683.86,Bank transfer,7,1
