CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure
C00001,Female,44,0,Yes,No,7
C00002,Female,31,0,Yes,No,55
C00003,Male,23,0,No,Yes,47
C00004,Female,72,1,Yes,No,32
C00005,Male,73,1,No,Yes,31
C00006,Female,72,1,No,No,61
C00007,Female,26,0,No,No,7
C00008,Female,39,0,Yes,No,50
C00009,Male,36,0,Yes,No,15
C00010,Female,36,0,No,Yes,7
C00011,Male,41,0,No,No,38
C00012,Female,47,0,No,Yes,70
C00013,Male,45,0,Yes,Yes,53
C00014,Male,34,0,Yes,Yes,55
C00015,Female,73,1,Yes,No,51
C00016,Female,73,1,No,No,56
C00017,Male,36,0,Yes,No,37
C00018,Male,30,0,No,No,10
C00019,Male,48,0,Yes,No,60
C00020,Female,39,0,Yes,No,32
C00021,Male,74,1,No,No,36
C00022,Male,42,0,No,No,27
C00023,Male,20,0,No,No,13
C00024,Male,25,0,Yes,No,66
C00025,Male,22,0,No,Yes,56
C00026,Female,39,0,Yes,No,46
C00027,Female,36,0,No,No,29
C00028,Male,66,1,No,No,59
C00029,Female,68,1,Yes,Yes,39
C00030,Female,26,0,No,Yes,32
C00031,Male,71,1,Yes,No,32
C00032,Female,51,0,Yes,No,17
C00033,Female,35,0,Yes,No,7
C00034,Female,41,0,Yes,No,40
C00035,Male,43,0,No,No,64
C00036,Male,27,0,No,No,5
C00037,Male,67,1,No,Yes,61
C00038,Male,18,0,No,Yes,59
C00039,Female,21,0,No,No,20
C00040,Female,33,0,Yes,No,45
C00041,Female,26,0,Yes,No,12
C00042,Female,21,0,Yes,No,54
C00043,Female,39,0,No,Yes,50
C00044,Male,39,0,No,No,26
C00045,Male,25,0,No,Yes,5
C00046,Male,64,0,Yes,No,69
C00047,Male,68,1,Yes,Yes,32
C00048,Female,59,0,No,No,64
C00049,Male,47,0,Yes,No,49
C00050,Male,72,1,No,No,56
C00051,Male,37,0,Yes,Yes,54
C00052,Female,42,0,Yes,Yes,14
C00053,Female,18,0,No,No,26
C00054,Male,58,0,No,Yes,34
C00055,Male,23,0,No,Yes,36
C00056,Male,55,0,No,No,4
C00057,Female,62,0,Yes,Yes,39
C00058,Male,30,0,No,Yes,11
C00059,Female,52,0,No,No,53
C00060,Female,35,0,No,No,49
C00061,Female,40,0,No,No,66
C00062,Male,48,0,Yes,No,53
C00063,Male,32,0,Yes,No,27
C00064,Male,63,0,No,No,69
C00065,Female,40,0,No,No,30
C00066,Male,44,0,Yes,Yes,24
C00067,Male,64,0,Yes,No,65
C00068,Male,30,0,No,No,27
C00069,Female,43,0,No,No,6
C00070,Female,74,1,No,No,34
C00071,Male,40,0,Yes,No,57
C00072,Female,24,0,No,No,14
C00073,Female,34,0,No,No,33
C00074,Female,72,1,No,No,10
C00075,Female,61,0,Yes,No,49
C00076,Male,64,0,No,No,34
C00077,Female,32,0,No,No,24
C00078,Female,65,1,No,No,17
C00079,Female,40,0,No,Yes,41
C00080,Female,63,0,No,Yes,48
C00081,Female,68,1,Yes,No,67
C00082,Male,29,0,No,Yes,32
C00083,Female,71,1,No,Yes,12
C00084,Female,54,0,Yes,Yes,60
C00085,Male,59,0,Yes,No,45
C00086,Male,61,0,No,No,50
C00087,Female,27,0,Yes,No,7
C00088,Male,60,0,No,No,23
C00089,Female,30,0,Yes,No,55
C00090,Female,33,0,Yes,No,60
C00091,Female,24,0,Yes,No,31
C00092,Male,28,0,No,No,58
C00093,Male,73,1,No,No,60
C00094,Female,36,0,Yes,No,28
C00095,Female,40,0,Yes,Yes,64
C00096,Male,45,0,Yes,Yes,21
C00097,Male,58,0,No,No,18
C00098,Male,50,0,No,No,49
C00099,Female,48,0,No,No,46
C00100,Female,65,1,Yes,Yes,10
C00101,Male,46,0,No,No,60
C00102,Male,61,0,Yes,No,15
C00103,Male,69,1,Yes,No,58
C00104,Female,56,0,Yes,No,1
C00105,Male,20,0,Yes,No,57
C00106,Male,33,0,Yes,No,56
C00107,Male,53,0,No,No,56
C00108,Female,45,0,Yes,No,48
C00109,Male,34,0,No,No,34
C00110,Male,37,0,No,No,51
C00111,Female,22,0,No,Yes,20
C00112,Male,31,0,No,No,56
C00113,Male,62,0,No,No,40
C00114,Female,18,0,Yes,Yes,33
C00115,Female,65,1,Yes,No,36
C00116,Male,37,0,No,No,41
C00117,Male,64,0,No,Yes,3
C00118,Male,32,0,No,No,10
C00119,Female,65,1,No,Yes,18
C00120,Female,50,0,No,No,9
C00121,Female,66,1,No,No,32
C00122,Female,21,0,No,No,48
C00123,Male,63,0,No,No,47
C00124,Female,33,0,No,Yes,34
C00125,Female,38,0,No,No,61
C00126,Male,20,0,No,Yes,41
C00127,Female,72,1,No,No,6
C00128,Female,54,0,Yes,No,55
C00129,Female,73,1,Yes,Yes,41
C00130,Female,50,0,No,No,46
C00131,Male,27,0,Yes,No,41
C00132,Male,37,0,Yes,No,40
