CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod,NumComplaints,Churn,ChurnProb,RiskTier,ChurnPred
C00001,Female,44,0,Yes,No,7,Yes,No,No internet service,No,No internet service,Two year,Yes,18.0,99.92,Electronic check,0,0,,Unknown,
C00002,Female,31,0,Yes,No,55,Yes,DSL,No internet service,No,Yes,Month-to-month,No,39.78,2215.73,Mailed check,0,0,,Unknown,
C00003,Male,23,0,No,Yes,47,Yes,Fiber optic,No,No,Yes,Month-to-month,No,93.51,4401.81,Electronic check,1,0,,Unknown,
C00004,Female,72,1,Yes,No,32,Yes,No,Yes,No,Yes,One year,Yes,18.0,542.95,Credit card,2,0,0.0342,Low,0.0
C00005,Male,73,1,No,Yes,31,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,87.11,2706.98,Mailed check,1,0,0.1246,Low,0.0
C00006,Female,72,1,No,No,61,No,No,No,Yes,No internet service,Month-to-month,No,29.32,1772.98,Bank transfer,2,0,0.2067,Low,0.0
C00007,Female,26,0,No,No,7,Yes,No,Yes,Yes,Yes,Month-to-month,No,20.17,140.76,Mailed check,3,0,,Unknown,
C00008,Female,39,0,Yes,No,50,Yes,DSL,Yes,No,No,One year,No,70.87,3493.78,Credit card,1,0,,Unknown,
C00009,Male,36,0,Yes,No,15,Yes,DSL,No,No internet service,No internet service,Month-to-month,No,32.55,484.56,Bank transfer,2,0,,Unknown,
C00010,Female,36,0,No,Yes,7,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes,38.79,288.39,Electronic check,4,1,,Unknown,
C00011,Male,41,0,No,No,38,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,87.43,3313.79,Mailed check,5,1,,Unknown,
C00012,Female,47,0,No,Yes,70,Yes,Fiber optic,Yes,No,No,Month-to-month,No,71.42,4963.96,Electronic check,1,0,0.1979,Low,0.0
C00013,Male,45,0,Yes,Yes,53,No,DSL,No internet service,No,Yes,Month-to-month,Yes,52.99,2807.34,Mailed check,0,0,,Unknown,
C00014,Male,34,0,Yes,Yes,55,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No,74.22,4077.88,Electronic check,2,1,,Unknown,
C00015,Female,73,1,Yes,No,51,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes,50.47,2605.32,Credit card,0,0,,Unknown,
C00016,Female,73,1,No,No,56,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,93.5,5244.8,Credit card,3,0,,Unknown,
C00017,Male,36,0,Yes,No,37,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,No,115.0,4250.39,Electronic check,5,1,0.9918,High,1.0
C00018,Male,30,0,No,No,10,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,108.93,1065.29,Bank transfer,4,1,,Unknown,
C00019,Male,48,0,Yes,No,60,Yes,DSL,No internet service,No internet service,No,Two year,No,42.34,2539.45,Electronic check,2,0,,Unknown,
