CustomerID,PhoneService,InternetService,OnlineBackup,TechSupport,StreamingTV,Contract,PaperlessBilling
C00001,Yes,No,No internet service,No,No internet service,Two year,Yes
C00002,Yes,DSL,No internet service,No,Yes,Month-to-month,No
C00003,Yes,Fiber optic,No,No,Yes,Month-to-month,No
C00004,Yes,No,Yes,No,Yes,One year,Yes
C00005,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes
C00006,No,No,No,Yes,No internet service,Month-to-month,No
C00007,Yes,No,Yes,Yes,Yes,Month-to-month,No
C00008,Yes,DSL,Yes,No,No,One year,No
C00009,Yes,DSL,No,No internet service,No internet service,Month-to-month,No
C00010,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes
C00011,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes
C00012,Yes,Fiber optic,Yes,No,No,Month-to-month,No
C00013,No,DSL,No internet service,No,Yes,Month-to-month,Yes
C00014,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No
C00015,Yes,DSL,No,No internet service,No internet service,Month-to-month,Yes
C00016,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No
C00017,Yes,Fiber optic,Yes,No internet service,No,Month-to-month,No
C00018,Yes,Fiber optic,No,No,No internet service,Month-to-month,No
C00019,Yes,DSL,No internet service,No internet service,No,Two year,No
C00020,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes
C00021,No,No,Yes,No,No,Month-to-month,No
C00022,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes
C00023,Yes,No,No,Yes,Yes,One year,No
C00024,Yes,DSL,No internet service,No,Yes,Month-to-month,No
C00025,Yes,DSL,No,No,No internet service,One year,Yes
C00026,Yes,DSL,No,No,No,One year,Yes
C00027,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,No
C00028,Yes,DSL,Yes,No,Yes,Month-to-month,Yes
C00029,Yes,No,No internet service,No,No internet service,Two year,Yes
C00030,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes
C00031,Yes,No,No,No internet service,Yes,Month-to-month,No
C00032,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes
C00033,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes
C00034,Yes,Fiber optic,No internet service,Yes,Yes,One year,Yes
C00035,No,Fiber optic,Yes,No,No internet service,Month-to-month,No
C00036,Yes,Fiber optic,No,No,No,Month-to-month,Yes
C00037,Yes,DSL,No,No,Yes,One year,Yes
C00038,Yes,No,No,No,No,Two year,Yes
C00039,No,Fiber optic,No,No,No,Month-to-month,No
C00040,Yes,Fiber optic,No internet service,Yes,No internet service,One year,Yes
C00041,No,DSL,No internet service,No,Yes,Month-to-month,No
C00042,No,DSL,No internet service,Yes,No,One year,No
C00043,No,DSL,No,Yes,No,Month-to-month,No
C00044,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes
C00045,Yes,DSL,No internet service,Yes,No,Two year,Yes
C00046,No,No,Yes,No,No,One year,No
C00047,Yes,No,No internet service,No,No,Month-to-month,Yes
C00048,Yes,DSL,Yes,No internet service,Yes,Two year,No
C00049,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes
C00050,Yes,DSL,No,No,Yes,One year,No
C00051,Yes,Fiber optic,No,No,Yes,One year,Yes
C00052,No,DSL,No internet service,No internet service,Yes,Two year,No
C00053,Yes,No,Yes,No,Yes,Month-to-month,Yes
C00054,Yes,No,No,No,Yes,One year,No
C00055,Yes,DSL,Yes,No,Yes,One year,Yes
C00056,Yes,DSL,No internet service,Yes,No,Month-to-month,Yes
C00057,Yes,Fiber optic,No,Yes,No,Two year,Yes
C00058,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,No
C00059,Yes,DSL,Yes,No,No,Month-to-month,No
C00060,No,No,No internet service,No,No internet service,One year,Yes
C00061,No,No,No internet service,No,Yes,Month-to-month,Yes
C00062,Yes,Fiber optic,No internet service,Yes,Yes,Two year,No
C00063,Yes,No,Yes,Yes,Yes,Month-to-month,Yes
C00064,Yes,Fiber optic,No,No,No,Month-to-month,Yes
C00065,Yes,Fiber optic,No,No,No internet service,One year,Yes
C00066,Yes,No,No,No,Yes,Two year,Yes
C00067,Yes,Fiber optic,No internet service,No,No,One year,No
C00068,Yes,Fiber optic,Yes,No,No,Month-to-month,No
C00069,Yes,DSL,No,No,Yes,Month-to-month,Yes
C00070,Yes,Fiber optic,Yes,No,No,One year,No
C00071,No,DSL,No,No,Yes,Two year,No
C00072,Yes,DSL,Yes,Yes,Yes,One year,Yes
C00073,Yes,Fiber optic,Yes,Yes,No internet service,One year,Yes
C00074,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes
C00075,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes
C00076,Yes,DSL,No,No,No,Month-to-month,Yes
C00077,Yes,No,No,No,Yes,Month-to-month,Yes
C00078,No,Fiber optic,No internet service,No,No,Month-to-month,Yes
C00079,Yes,Fiber optic,No,No,No,One year,No
C00080,Yes,No,No,Yes,No,Month-to-month,Yes
C00081,Yes,No,No internet service,Yes,No,Month-to-month,No
C00082,No,DSL,No,No,Yes,Two year,No
C00083,Yes,Fiber optic,No,No,No internet service,Month-to-month,No
C00084,Yes,DSL,No internet service,No,Yes,One year,Yes
C00085,Yes,Fiber optic,No internet service,No,No,One year,Yes
C00086,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes
C00087,Yes,DSL,Yes,No internet service,No,Two year,Yes
C00088,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes
C00089,Yes,DSL,No,Yes,Yes,Month-to-month,Yes
C00090,Yes,Fiber optic,No,No internet service,Yes,One year,No
C00091,Yes,DSL,Yes,No,No internet service,Two year,No
C00092,No,No,No,Yes,Yes,Month-to-month,Yes
C00093,Yes,Fiber optic,No,Yes,Yes,One year,No
C00094,No,DSL,No,Yes,No,Month-to-month,Yes
C00095,Yes,Fiber optic,Yes,No internet service,Yes,One year,No
C00096,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes
C00097,Yes,Fiber optic,No,Yes,Yes,One year,Yes
C00098,No,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes
C00099,Yes,DSL,No,No internet service,Yes,Month-to-month,No
C00100,Yes,DSL,No,No,No,Month-to-month,Yes
C00101,Yes,DSL,No,No internet service,No internet service,One year,Yes
C00102,Yes,Fiber optic,No internet service,Yes,Yes,Two year,Yes
C00103,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,No
C00104,Yes,DSL,Yes,Yes,No,Month-to-month,Yes
C00105,Yes,DSL,No internet service,No,No,One year,Yes
C00106,Yes,No,No,No internet service,Yes,One year,Yes
C00107,Yes,DSL,Yes,No,Yes,Month-to-month,Yes
C00108,No,DSL,No,No,No internet service,One year,Yes
C00109,Yes,Fiber optic,No,No,Yes,Two year,Yes
C00110,No,DSL,No,No,Yes,Month-to-month,Yes
C00111,Yes,No,No internet service,No,Yes,Month-to-month,Yes
C00112,Yes,DSL,Yes,No,Yes,Month-to-month,No
C00113,Yes,No,No,Yes,Yes,Two year,Yes
C00114,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes
C00115,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes
C00116,Yes,Fiber optic,No,No internet service,No,Two year,No
C00117,Yes,No,No internet service,No internet service,No,Month-to-month,Yes
C00118,Yes,Fiber optic,No,No,No internet service,One year,Yes
C00119,Yes,DSL,No internet service,Yes,No,One year,No
C00120,Yes,No,Yes,Yes,No,Two year,Yes
C00121,Yes,DSL,No,No internet service,Yes,One year,No
C00122,Yes,DSL,No internet service,No,No,Month-to-month,Yes
C00123,Yes,DSL,Yes,Yes,No,Month-to-month,Yes
C00124,Yes,No,No internet service,Yes,No,Month-to-month,No
C00125,Yes,DSL,No,No internet service,Yes,Two year,Yes
C00126,Yes,DSL,No internet service,Yes,No,Month-to-month,Yes
C00127,Yes,No,Yes,No,No,Month-to-month,No
C00128,Yes,Fiber optic,No,No,Yes,Month-to-month,No
C00129,Yes,DSL,Yes,No,No,Month-to-month,Yes
C00130,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,No
C00131,Yes,DSL,Yes,No,Yes,Month-to-month,Yes
C00132,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes
C00133,Yes,DSL,No,Yes,Yes,Month-to-month,Yes
C00134,No,Fiber optic,No internet service,No,Yes,Month-to-month,No
C00135,Yes,Fiber optic,No internet service,No internet service,No internet service,Two year,Yes
C00136,Yes,Fiber optic,No internet service,No,No,One year,No
C00137,Yes,DSL,Yes,Yes,No internet service,One year,Yes
C00138,Yes,Fiber optic,No internet service,Yes,No internet service,Two year,Yes
C00139,Yes,Fiber optic,No,No,No,One year,No
C00140,Yes,No,No,Yes,No,One year,Yes
C00141,No,No,Yes,Yes,No,Month-to-month,Yes
C00142,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes
C00143,Yes,No,No,Yes,No,Month-to-month,Yes
C00144,Yes,No,No internet service,No,No,Two year,Yes
C00145,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes
C00146,Yes,DSL,No,Yes,No,Month-to-month,Yes
C00147,Yes,Fiber optic,Yes,Yes,No,Two year,No
C00148,No,DSL,Yes,No,Yes,Month-to-month,Yes
C00149,Yes,DSL,No internet service,No,No,One year,No
C00150,Yes,DSL,No,Yes,Yes,One year,Yes
C00151,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes
C00152,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes
C00153,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes
C00154,Yes,DSL,No,No,No,One year,Yes
C00155,Yes,No,No,No,No,Two year,Yes
C00156,No,Fiber optic,No internet service,No,No,Two year,No
C00157,Yes,DSL,Yes,No,No internet service,Month-to-month,Yes
C00158,Yes,DSL,No,No,Yes,Month-to-month,No
C00159,No,DSL,No,No,No internet service,One year,No
C00160,Yes,No,No,No,Yes,One year,Yes
C00161,No,DSL,Yes,No,No,Month-to-month,Yes
C00162,Yes,No,Yes,Yes,Yes,Month-to-month,No
C00163,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes
